SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002463.SZ,002463,沪电股份,10090573,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-23 00:00:00,2026-04-23 00:00:00,CNY,5173296854,,,,,,,,,,,,398682622,133122995,,0.0,5705102471,3701184006,,,,,,1026218078,249840796,216843006,,0.0,5194085886,,0.0,511016585,,58638958.0,3254912.0,4225939.0,,2518637000.0,,0.0,2584756809.0,1467227661,,,,,1770124000.0,,0.0,3237351661,,0.0,-652594852,,,2273459420,,,,0.0,2273459420,264046362,16379343,,,2345647.0,,,0.0,282771352,,0.0,1990688068,-36575517.0,,0.0,1812534284,2579103305.0,,0.0,4391637589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4387031179,,,,,,,,,,,,15.1481747803,177.9165450339,,,22.5812007906,69.7473733339,,,,,,32.9230866181,69.8656577288,62.4120850233,,,60.6563206721,,,-64.0407651534,,302.8179484689,79.3474331961,,,-60.2546812815,,,-59.3163882293,122.9392859914,,,,,-71.6408087411,,,-53.1017666271,,,-18.7363458038,,,10.1307528867,,,,,7.2766071094,-79.6240984923,-32.4384589906,,,61144.046997389,,,,-78.5799262419,,,149.1079157063,-329.7698269712,,,7.4713379571,67.2836396693,,,36.03633751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-25 00:00:00,2026-03-25 00:00:00,CNY,18012298631,,,,,,,,,,,,1317755127,369700716,,0.0,19699754474,11290435942,,,,,,2975813136,751704116,809833488,,0.0,15827786682,,0.0,3871967792,,86590405.0,16389875.0,,,12385815000.0,,0.0,12488795280.0,3198495759,4484140.0,,,,11940949000.0,,0.0,15143928899,,0.0,-2655133619,84291606.0,243121.0,8200728816,,21020.0,,0.0,8285041442,7252934374,1084406264,,,157442148.0,,,0.0,8494782786,,0.0,-209741344,30255819.0,,0.0,1037348648,1541754657.0,,0.0,2579103305.0,3818673108.0,209270013.0,579717399.0,579102501.0,614898.0,18888724.0,2497433.0,-34207460.0,,,16458686.0,7478899.0,-12102946.0,-42847257.0,988996.0,-86990584.0,-83337960.0,-3652624.0,,-2010017269.0,-1458601390.0,2564416505.0,,252077430.0,0.0,3871967792.0,,,,,2579103305.0,1541754657.0,,,,,1037348648.0,47.8606675857,,,,,,,,,,,,62.1884698085,82.3279780532,,,49.2723267698,49.2956062556,,,,,,37.5149176086,18.5313374397,58.3681773242,,,45.5829424752,,,66.5230014078,,-14.9655569398,62.193560441,,,201.5095175557,,,195.9521376812,48.9183672408,-78.5535438732,,,,134.7800890256,,,108.7452713512,,,12.512475328,-45.4013114667,-96.5805213446,55.1308420107,,-9.1930188353,,,52.2779128005,69.4453605192,-0.3514969451,,,20842.861247456,,,,58.2078814426,,,-393.9316645351,-67.345143649,,,290.1035348248,-26.1410226836,,,67.2836396693,48.7998456277,-23.3162625702,22.8644843673,23.0784703345,-53.4145947875,13.2872488777,44.033673929,4.5925809074,,,206.710774924,79.6575818133,-233.5697346825,25.6805065996,-95.001654161,-37.4883501572,-34.416654215,-187.2661838819,,-140.3485639571,1.474979152,91.7945217157,,226.8550930457,,66.5230014078,,,,,67.2836396693,-26.1410226836,,,,,290.1035348248,标准无保留意见,,,,2781963.0,3258.2768985623
002463.SZ,002463,沪电股份,10090573,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,12954722590,,,,,,,,,,,,955596680,193966279,,0.0,14104285549,7947814697,,,,,,2212475247,534855599,513944995,,0.0,11209090538,,0.0,2895195011,,55742279.0,27268570.0,,,10547645000.0,,0.0,10630655849.0,2103537976,4484140.0,,,,10291940701.0,,0.0,12399962817,,0.0,-1769306968,79328430.0,243121.0,6370401190,,19960.0,,0.0,6449749580,5035613735,1053410291,,,329229.0,,,0.0,6089353255,,0.0,360396325,40688241.0,,0.0,1526972609,1541754657.0,,0.0,3068727266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4547764074,,,,,,,,,,,,49.1183862081,62.0563213709,,,47.7495321273,49.159050325,,,,,,38.723254069,23.69433171,55.7102817226,,,45.8422012749,,,55.6295545415,,-13.1115593704,209.7253522303,,,1192.9204461878,,,1096.1249635477,60.6239926725,-15.9057033057,,,,964.701877722,,,443.4799383658,,,-27.0298107429,-25.9019788851,-96.5805213446,76.1845069857,,-6.2030075188,,,73.2483024834,83.1455879533,-0.0800251204,,,-56.013066656,,,,60.0559028773,,,541.2249609627,-5.0757993994,,,256.2143840754,-26.1410226836,,,21.9637889274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2025-08-22 00:00:00,CNY,8455063035,,,,,,,,,,,,671449367,102963225,,0.0,9229475627,4909263408,,,,,,1524932934,364126351,333736266,,0.0,7132058959,,0.0,2097416668,,27260712.0,19180349.0,,,8716983000.0,,0.0,8763424061.0,1388250614,4484140.0,,,,8733593000.0,,0.0,10126327754,,0.0,-1362903693,73401401.0,,4126201627,,16259.0,,0.0,4199619287,2755992301,1016608768,,,328818.0,,,0.0,3772929887,,0.0,426689400,36342491.0,,0.0,1197544866,1541754657.0,,0.0,2739299523.0,1678314457.0,190137615.0,260924046.0,260644572.0,279474.0,9030461.0,1172190.0,-15461955.0,,,-1761175.0,51342.0,-150889.0,-51501050.0,1053889.0,-47796111.0,-45025142.0,-2770969.0,,-853998803.0,-153512549.0,917797760.0,,126782693.0,0.0,2097416668.0,,,,,2739299523.0,1541754657.0,,,,,1197544866.0,51.6475700595,,,,,,,,,,,,59.7623551939,7.3131764102,,,51.5091444255,48.2805875989,,,,,,40.8083711287,30.4400255466,48.4390316328,,,45.6187779131,,,75.6726085884,,81.9577879637,329.2426891319,,,2465.3275456151,,,2339.3644106701,93.3877715432,4.9719178454,,,,1201.9667561121,,,626.9802290076,,,-31.8496751419,-14.8352572289,,64.8569128301,,-4.4880455854,,,62.2036185881,77.8964360147,-0.3995220331,,,-55.0066090688,,,,46.7706833244,,,2209.6459642116,-32.3765607472,,,415.1358717713,-26.1410226836,,,18.0782466015,48.7605984942,30.2128465727,14.0066945867,14.2166804129,-58.0026958917,9.4264962916,51.923490667,15.1588041735,,,-224.9200264994,,-165.7230718302,-681.8371761295,-92.5498177376,35.2691819859,38.2870803598,-215.1546618049,,2.5907491147,-652.7371032131,58.4335018273,,1310.0693697575,,75.6726085884,,,,,18.0782466015,-26.1410226836,,,,,415.1358717713,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-23 00:00:00,CNY,4260006671,,,,,,,,,,,,346234426,47900349,,0.0,4654141446,2180407233,,,,,,772039007,147081405,133514083,,0.0,3233041728,,0.0,1421099718,,14557186.0,1814864.0,,,6336940000.0,,0.0,6353312050.0,658128806,3000000.0,,,,6241800000.0,,0.0,6902928806,,0.0,-549616756,54916665.0,,2064327502,,5762.0,,0.0,2119249929,1295875728,24243590,,,3830.0,,,0.0,1320123148,,0.0,799126781,15918329.0,,0.0,1686528072,1541754657.0,,0.0,3228282729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0948396288,,,,,,,,,,,,116.5032225695,14.1653389978,,,52.1396614448,56.9130785188,,,,,,43.3038099584,6.9944315343,32.212334894,,,49.2110504538,,,59.2506275612,,8.0297501388,214.9143507593,,,1865.5521091811,,,1788.3294187321,90.4070721839,0.0,,,,25799.5850622407,,,1751.9269136092,,,-1414.4470732453,-9.7641897486,,37.6638096402,,-7.318642432,,,35.8138426727,86.9559437937,-10.3628495128,,,-93.9323849054,,,,83.2856610149,,,-4.8832339541,-35.0771211414,,,-1.9886362978,-26.1410226836,,,-15.2276250846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-26 00:00:00,2026-03-25 00:00:00,CNY,12181940556,,,,,,,,,,,,812483852,202766860,,0.0,13197191268,7562470340,,,,,,2163992960,634181755,511361248,,0.0,10872006303,,0.0,2325184965,,101829802.0,10105133.0,,,4107935000.0,,0.0,4219869935.0,2147818176,20908536.0,,,,5086014342.0,,0.0,7254741054,,0.0,-3034871119,154383939.0,7109885.0,5286330371,,23148.0,,0.0,5440737458,4280397145,1088231364,,,751770.0,,,0.0,5369380279,,0.0,71357179,92653352.0,,0.0,-545675623,2087430280.0,,0.0,1541754657.0,2566315235.0,272900122.0,471834804.0,470514867.0,1319937.0,16673301.0,1733923.0,-35854088.0,,,5366191.0,4162863.0,9061144.0,-57652784.0,19786466.0,-63271240.0,-61999728.0,-1271512.0,,-836292606.0,-1480437535.0,1337064522.0,,77122075.0,0.0,2325184965.0,,,,,1541754657.0,2087430280.0,,,,,-545675623.0,38.0313355145,,,,,,,,,,,,54.5700197595,70.7749369863,,,39.359884074,51.5572343349,,,,,,46.8341314932,79.8752663866,24.6086723735,,,50.445263401,,,3.6496884003,,-20.525143215,-15.6474964874,,,135.9022081439,,,123.5862887116,165.0095295525,87.7639386096,,,,78.6841053102,,,93.0819802752,,,-62.2942327756,-16.1406876968,19.4194642094,17.9810688026,,,,,16.6349203292,10.5541411626,199.5482066801,,,-44.4934623271,,,,26.7436163741,,,-83.3412976176,567.0544681925,,,-166.9074417528,64.1239119857,,,-26.1410226836,72.2915962804,67.6231513352,17.6151512597,17.6882219746,-3.6987289814,32.5628638595,-15.2553912232,12.7840310565,,,-55.5854704272,-21.2353496335,1407.9339417971,-1852.9839271451,189.2036384634,-427.5081471684,-425.8401233195,-536.4522584432,,-1015.7858475957,-279.978194517,108.0849777791,,123.4514603154,,3.6496884003,,,,,-26.1410226836,64.1239119857,,,,,-166.9074417528,标准无保留意见,,,,82839.0,-97.3143633369
002463.SZ,002463,沪电股份,10090573,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-29 00:00:00,CNY,8785556430,,,,,,,,,,,,640830889,119690659,,0.0,9546077978,5328415996,,,,,,1594884190,432401058,330064906,,0.0,7685766150,,0.0,1860311828,,64153849.0,8804113.0,,,815800000.0,,0.0,888757962.0,1309603840,5332276.0,,,,966650000.0,,0.0,2281586116,,0.0,-1392828154,107058770.0,7109885.0,3615755607,,21280.0,,0.0,3722835657,2749514084,1054253959,,,748470.0,,,0.0,3804516513,,0.0,-81680856,42863928.0,,0.0,428666746,2087430280.0,,0.0,2516097026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1476885021,,,,,,,,,,,,95.0565272624,20.8286790808,,,38.7399505982,49.7936102049,,,,,,49.7012665141,68.4706480822,17.4886098326,,,48.9447499185,,,8.1319630855,,-48.7976722735,188.9997991077,,,-51.7670249158,,,-51.3167133494,149.3656152399,-50.952693691,,,,-64.5451721245,,,-31.9302225652,,,8.741372442,-17.4156650244,,5.2162689096,,1234.1692789969,,,4.3941055874,-5.899508912,203.8538983252,,,21.4810077891,,,,16.3649931052,,,-127.5327840544,290.959181436,,,-14.5737603526,64.1239119857,,,41.8590479087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-22 00:00:00,CNY,5575468853,,,,,,,,,,,,420280088,95946489,,0.0,6091695430,3310793063,,,,,,1082984571,279152315,224830533,,0.0,4897760482,,0.0,1193934948,,14981888.0,4468416.0,,,339800000.0,1497502.0,0.0,359250304.0,717858530,4271752.0,,,,670800000.0,,0.0,1392930282,,0.0,-1033679978,86187545.0,,2502898760,,17023.0,,0.0,2589103328,1549211644,1020686636,,,730814.0,,,0.0,2570629094,,0.0,18474234,53742447.0,,0.0,232471651,2087430280.0,,0.0,2319901931.0,1128198242.0,146020627.0,228867302.0,228201845.0,665457.0,8252536.0,771566.0,-18224584.0,,,1409842.0,,229583.0,8851454.0,14145815.0,-73838262.0,-72959021.0,-879241.0,,-876712217.0,27773158.0,579295256.0,,8991238.0,0.0,1193934948.0,,,,,2319901931.0,2087430280.0,,,,,232471651.0,28.9812139049,,,,,,,,,,,,90.4000132285,37.5125388937,,,32.0490483022,35.6921728574,,,,,,49.812846022,64.8790876046,12.2227298901,,,38.64968659,,,10.4743232465,,-56.3994741357,189.5677819086,,,-50.2322883774,23.1677637288,,-50.2792314614,129.1790746657,-60.7075986276,,,,-55.3801985533,,,-27.3316403638,,,13.4486068332,-32.4764323188,,-3.5714229218,,967.2727272727,,,-4.9256574329,-19.603591017,223.1140447013,,,53.4765725902,,,,14.589728433,,,-96.1504628526,890.8098367782,,,-37.4691427057,64.1239119857,,,41.1447248923,132.3683852767,22.8306818959,28.6889869279,28.8111754859,-2.8977872981,84.7875450715,4.3485905016,13.7092457457,,,-54.6185908877,,131.1600231817,-76.9199692025,-61.2210644801,-457.0968503404,-590.6577801002,-115.1391194719,,-2415.4780698336,-82.4199099094,4415.1667040011,,-43.1801382081,,10.4743232465,,,,,41.1447248923,64.1239119857,,,,,-37.4691427057,,,,,69480.0,-93.42845739
002463.SZ,002463,沪电股份,10090573,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-25 00:00:00,CNY,2857246221,,,,,,,,,,,,159921142,41956998,,0.0,3059124361,1389563734,,,,,,538742834,137466411,100984589,,0.0,2166757568,,0.0,892366793,,13475164.0,576304.0,,,322400000.0,,0.0,336451468.0,345643047,3000000.0,,,,24100000.0,,0.0,372743047,,0.0,-36291579,60859059.0,7046300.0,1499542623,,6217.0,,0.0,1560407899,693144974,27046364,,,63122.0,,,0.0,720254460,,0.0,840153439,24518828.0,,0.0,1720747481,2087430280.0,,0.0,3808177761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7132671925,,,,,,,,,,,,92.8458347961,54.4646098505,,,26.4277986031,13.2001603994,,,,,,41.2954080766,81.6040565701,-2.7807148847,,,21.1572199842,,,41.3591779187,,-41.9739869212,13.752442611,,,-14.0266666667,,,-15.6190665879,137.0848455556,-25.0,,,,-97.1746776084,,,-62.8293551588,,,93.992052273,555.3138092885,,1.7473171632,,,,,5.2141610022,23.6132022033,194.5136544759,,,-55.0477140009,,,,26.346948143,,,-7.9805266146,189.0487209857,,,88.5338484695,64.1239119857,,,74.3222666416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-26 00:00:00,2025-11-28 00:00:00,CNY,8825489162,,,,,,,,,,,,525641294,118733383,,0.0,9469863839,4989844512,,,,,,1473766990,352567514,410373723,,0.0,7226552739,,0.0,2243311100,5876341.0,128128324.0,11979648.0,,,1741372000.0,2461574.0,0.0,1887356313.0,810468280,11135544.0,,89361367.0,,2846372000.0,,0.0,3757337191,,0.0,-1869980878,184098742.0,5953707.0,4480659842,,,,0.0,4664758584,3871765544,363290896,,,1354381.0,,,0.0,4236410821,,0.0,428347763,13889923.0,,0.0,815567908,1271862372.0,,0.0,2087430280.0,1489518520.0,162805746.0,401168386.0,399797753.0,1370633.0,12577656.0,2046057.0,-41109545.0,,,12082062.0,5285192.0,-692783.0,3288837.0,-22181232.0,19318982.0,19027653.0,291329.0,,-74950996.0,-389611182.0,642556967.0,-4719879.0,34514017.0,0.0,2243311100.0,,,,,2087430280.0,1271862372.0,,,,,815567908.0,1.6156814986,,,,,,,,,,,,6.2236371588,97.8234063957,,,2.4873883262,-10.0796844065,,,,,,11.0530354074,11.4208602881,-14.7828747589,,,-5.83388073,,,43.2722041131,,118.5662006157,4.4858178576,,,-12.3748223969,9.6465092122,,-8.3642558166,-7.5521854175,-85.152608,,,,49.0022446877,,,31.2852472487,,,-133.0671791518,1227324846.6666667,,70.5609290176,,,,,77.5688361185,37.0740724369,14.559652736,,,93.0681792263,,,,34.8145002991,,,183.1120698743,-53.9222286505,,,193.1675456192,27.9963738648,,,64.1239119857,9.3967301656,7.0778450229,24.9012860382,24.7156570759,120.7337537685,174.4740049991,11.213195627,14.3791205374,,,99.6841298208,37288.1720430108,98.0422271558,-91.7089842864,-142.2194093163,3205.4921627305,25826.0586984957,-42.9950357982,,-54.3416098874,-25.1948049644,50302.3964312776,,-38.3885293401,,43.2722041131,,,,,64.1239119857,27.9963738648,,,,,193.1675456192,标准无保留意见,,,,3084520.0,364.0399572746
002463.SZ,002463,沪电股份,10090573,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-26 00:00:00,2024-10-25 00:00:00,CNY,6452960404,,,,,,,,,,,,328535988,99058154,,0.0,6880554546,3557171757,,,,,,1065377887,256662548,280933536,,0.0,5160145728,,0.0,1720408818,5876341.0,125294790.0,3046408.0,,,1691374000.0,,0.0,1825591539.0,525174186,10871700.0,,89361367.0,,2726427000.0,,0.0,3351834253,,0.0,-1526242714,129635687.0,,3436498599,,1595.0,,0.0,3566135881,2921891323,346960814,,,616121.0,,,0.0,3269468258,,0.0,296667623,10963786.0,,0.0,501797513,1271862372.0,,0.0,1773659885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.833054098,,,,,,,,,,,,-3.7619566076,53.518037706,,,4.8646430948,-11.7882252598,,,,,,4.3987422001,10.6611457079,22.1273278982,,,-6.4342505561,,,64.4163749384,,1831.4795702472,-20.2411609405,,,12.823343171,,,20.9448507945,-21.8617573941,-85.5044,,,,82.8962444388,,,49.7822287943,,,-109.5440321648,,,42.0423500566,,,,,47.4007064358,49.135730787,12.0293477198,,,-26.6500788714,,,,44.0445783982,,,98.3251621067,-86.0719293197,,,-8.1483661279,27.9963738648,,,15.173936386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
