SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600900.SH,600900,长江电力,10007169,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,18111540767.5,6.4427781703,18111540767.5,6.4427781703,,,,,,,,,,,11293274803.21,-2.2320232302,8033135242.2,0.399729858,,,,,132360569.04,37.4653227831,,,,,,,,,,,,,656931174.4,6.2831435521,51284061.34,22.8991824567,313109741.36,-0.0317340648,,,2106454014.87,-15.0837786931,2133104788.77,-15.5288426566,31314513.11,-33.374407981,,,,,,,684970477.99,1441.3116684252,814076772.53,-10.204119366,801565712.64,-10.228750198,,,,,-1047232.69,68.3408217106,-38254.02,,-1476491.54,-629411.883044924,4932584.64,-24.4509980014,,,0.0,,8319683821.2,31.5796520938,50445.09,-92.715822453,,,126479143.9,5.332830117,,,,,0.0,,8193255122.39,32.0738096514,1309957700.06,43.4645444637,,,,,,,6883297422.33,30.1078642965,,,6883297422.33,30.1078642965,,,6761006898.48,30.5015768508,122290523.85,11.5087954441,6237332251.35,19.1983219881,,,,,0.2763,30.5148795465,0.2763,30.5148795465,-526354970.14,-266.6591888074,-273022653.62,-201.9524279974,-253332316.52,-627.4132057886,,,,,225246974.0,32.9299147854,,,225246974.0,32.9299147854,,,,,,,,,-498269627.62,-606.648341747,,,,,,,,,,,,,,,-498269627.62,-606.648341747,,,,,,,,,6356942452.19,13.3896367218,6487984244.86,19.0766131138,-131041792.67,-183.0945999259,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,86241940222.2,2.0712876209,86241940222.2,2.0712876209,,,,,,,,,,,48766372374.15,-2.9888238006,33057840034.77,-4.2588374895,,,,,1166892834.72,31.0056785674,,,,,,,,,,,,,3318838177.83,68.6390249718,234079316.4,24.4159502238,1617349026.38,3.5266286366,,,9371372984.05,-15.810944487,9508718717.67,-16.0548225789,148748619.61,-27.3029500221,,,,,,,1677224276.91,691.7371066808,4958543639.59,-5.688371409,4616346514.82,-3.9494191109,,,,,-456669.39,93.4595895798,-1504725889.21,-10400.5314659711,-26354836.16,18.7868222121,19576677.6,195.8320406745,,,0.0,,42599375047.39,7.4510908882,32401808.12,528.983575624,,,891936697.59,13.1702934684,,,,,0.0,,41739840157.92,7.4042367673,6790569270.37,14.4700803291,,,,,,,34949270887.55,6.131367345,,,34949270887.55,6.131367345,,,34502809176.39,6.1749929124,446461711.16,2.8650605759,33445575299.94,2.8855550967,,,,,1.4101,6.1742338679,1.4101,6.1742338679,141142363.96,-90.0439286146,201228918.14,-84.4485642589,-60086554.18,-148.57676847,,,,,404255714.75,-53.937114531,,,457766160.94,-51.3676134848,,,-53510446.19,15.945252736,,,,,-203026796.61,-148.7646428231,-118611191.74,-176.8978631733,,,,,,,,,,,,,-84415604.87,-134.1811824711,,,,,,,,,35090413251.51,2.1618897804,34704038094.53,2.7046599533,386375156.98,-30.7224518014,,,,,,,,,,,标准无保留意见
600900.SH,600900,长江电力,10007169,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,65741285681.72,-0.888570805,65741285681.72,-0.888570805,,,,,,,,,,,35904706078.16,-2.983193221,24667973077.91,-4.1715464165,,,,,411682995.77,17.8441705643,,,,,,,,,,,,,2529286805.39,74.1402506483,137574448.83,9.639372292,997059661.17,12.9936902647,,,7161129089.09,-15.3258054617,7258299004.69,-15.5705736793,114274791.38,-26.4191385054,,,,,,,139587183.08,-18.1923998578,4236996573.61,-0.672914767,4028893030.79,2.6195591758,,,,,-3496161.73,6.3411113031,,,-3983439.12,69.5616645362,7433060.04,68.6732955137,,,0.0,,34213116819.44,1.3801763528,29765441.18,6064.4254529983,,,628103708.2,1.7457182161,,,,,0.0,,33614778552.42,1.4617306014,5059300715.47,6.4452450595,,,,,,,28555477836.95,0.6270405854,,,28555477836.95,0.6270405854,,,28192874494.95,0.5992925685,362603342.0,2.8323749569,28206547059.13,0.7942518195,,,,,1.1522,0.5936790641,1.1522,0.5936790641,371365771.43,-27.399407428,390434076.08,-34.1430235018,-19068304.65,76.5551455756,,,,,414505649.77,-38.5763920456,,,403394579.03,-32.8492136076,,,11111070.74,-85.0056410684,,,,,-24071573.69,70.6371394017,-5780575.39,-112.0714827394,,,,,,,,,,,,,-18290998.3,87.3851523805,,,,,,,,,28926843608.38,0.1307953097,28583308571.03,-0.1204361512,343535037.35,26.6332885184,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,36697614066.72,5.3384974512,36697614066.72,5.3384974512,,,,,,,,,,,23307742474.65,-2.3658568558,16101982065.34,-2.9710926058,,,,,227807015.77,0.5953877685,,,,,,,,,,,,,1393256211.08,87.4597959015,88706857.83,0.8038798837,633083061.84,11.7732079339,,,4862907262.79,-13.9827493143,4922257628.13,-13.7750707185,74417427.93,-28.8018549307,,,,,,,-15120294.41,-118.2054307908,2588848989.68,-10.4717902199,2407127021.45,-5.9592171577,,,,,-1225281.31,64.6321737592,,,-4278455.86,62.0465722025,6920600.58,65.8036289746,,,0.0,,15965017150.75,14.5993252498,856495.01,141.6709205041,,,410186681.86,6.7143201308,,,,,0.0,,15555686963.9,14.8263739261,2273063303.63,16.1658508762,,,,,,,13282623660.27,14.6002377998,,,13282623660.27,14.6002377998,,,13056352473.55,14.8553742544,226271186.72,1.5799176589,13190192509.73,16.0049141397,,,,,0.5336,14.8514851485,0.5336,14.8514851485,768428565.49,12.4010011964,716523696.35,3.8861876291,51904869.14,955.0106093733,,,,,605800230.47,-7.8830758979,,,594689159.73,1.9104274777,,,11111070.74,-85.0056410684,,,,,110723465.88,245.1782668282,-5780575.39,-112.0714827394,,,,,,,,,,,,,116504041.27,476.5610966233,,,,,,,,,14051052225.76,14.4777430466,13772876169.9,14.227901706,278176055.86,28.3803252538,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,17015283778.59,8.6769265327,17015283778.59,8.6769265327,,,,,,,,,,,11551097993.77,-1.0813109711,8001152247.68,-1.4953761308,,,,,96286515.29,-6.8137156965,,,,,,,,,,,,,618095355.9,123.6268585531,41728561.83,1.1039693196,313209135.35,11.5759432365,,,2480626177.72,-13.0532643572,2525246315.85,-13.0902417988,47000727.74,-9.6468352499,,,,,,,-51067212.35,-260.0655548416,906585877.64,0.6792546071,892898020.7,0.6485854855,,,,,-3307832.82,-385.5867785595,,,234.62,100.0158860454,6528987.16,66.9303312016,,,0.0,,6322925839.07,29.9027193002,692529.66,232.6126282587,,,120075710.26,11.8233965503,,,,,0.0,,6203542658.47,30.3194107558,913088111.74,33.9873690367,,,,,,,5290454546.73,29.7065776344,,,5290454546.73,29.7065776344,,,5180785597.87,30.5584495071,109668948.86,-0.8537242089,5232734947.37,31.4939896786,,,,,0.2117,30.5178791615,0.2117,30.5178791615,315827152.35,17.6451068169,267794165.36,37.7544249043,48032986.99,-35.1412625265,,,,,169447918.75,78.0150006705,,,169447918.75,78.0150006705,,,,,,,,,98346246.61,-0.8728743227,,,,,,,,,,,,,,,98346246.61,16.97753545,,,,,,,,,5606281699.08,28.9617396204,5448579763.23,30.8945145625,157701935.85,-14.6039046947,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,84491870566.52,8.1239411176,84491870566.52,8.1239411176,,,,,,,,,,,50268818794.54,1.6227520867,34528346186.67,4.7637864739,,,,,890719278.34,12.9032962293,,,,,,,,,,,,,1968013144.28,22.872758579,188142529.94,-2.2055170185,1562254125.03,14.4953666715,,,11131343530.28,-11.3773191337,11327295992.21,-11.1052224927,204614382.09,-14.446376888,,,,,,,211841059.71,230.0609067784,5257616386.94,10.6827642213,4806161995.16,13.5854367382,,,,,-6982274.21,-210.1897571113,-14329997.43,66.2744515216,-32451428.3,-1249.7379333988,6617497.4,27.3727836227,,,0.0,,39645363016.09,19.3010701051,5151455.36,-93.6281766959,,,788136771.81,-11.2614293299,,,,,0.0,,38862377699.64,19.8566522609,5932178304.45,33.1106550929,,,,,,,32930199395.19,17.7446458037,,,32930199395.19,17.7446458037,,,32496172808.65,19.2755729654,434026586.54,-39.9565312837,32507551977.06,18.1739084299,,,,,1.3281,19.2725639874,1.3281,19.2725639874,1417651184.86,257.8831460558,1293957172.12,496.1451107879,123694012.74,-30.9231273939,,,,,877617002.57,933.5457574455,,,941278423.17,3035.1938642603,,,-63661420.6,13.0528262066,,,,,416340169.55,29.1613013422,154245107.53,1611.8491368945,,,,,15129922.82,200.0,,,,,,,246965139.2,-24.8113690182,,,,,,,,,34347850580.05,21.0983804923,33790129980.77,23.0446979467,557720599.28,-38.1630416374,,,,,,,,,,,标准无保留意见
600900.SH,600900,长江电力,10007169,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,66330680745.55,14.6495985106,66330680745.55,14.6495985106,,,,,,,,,,,37008748556.26,2.3926806014,25741804396.77,5.6643915798,,,,,349345236.0,46.9402027417,,,,,,,,,,,,,1452442382.49,23.245968029,125479055.52,1.233623684,882402954.39,9.2210924926,,,8457274531.09,-10.3531853693,8596883007.5,-10.3010276075,155305046.8,-10.0422489751,,,,,,,170628624.77,2561.3948688661,4265701106.27,11.4122377352,3926047883.22,19.7251632455,,,,,-3732866.98,-7.0359063524,1495040.78,-6.371640627,-13086915.1,-6864.8896383312,4406779.4,-8.442060453,,,0.0,,33747343958.43,32.0862378212,482858.32,-99.135552987,,,617326919.71,290.3062460145,,,,,0.0,,33130499897.04,30.1932563173,4752960747.7,33.9726409185,,,,,,,28377539149.34,29.5809964652,,,28377539149.34,29.5809964652,,,28024923212.82,30.2040695454,352615936.52,-6.1229580874,27984281394.97,30.4238682632,,,,,1.1454,30.2034784586,1.1454,30.2034784586,511518926.05,-38.9897596963,592851504.64,19.6705127629,-81332578.59,-123.7113127978,,,,,674831166.02,670.9764644026,,,600729493.58,534.2030075291,,,74101672.44,267.5084857989,,,,,-81979661.38,-113.3606117001,47886208.47,-40.1188724342,,,,,15129922.82,,,,,,,,-144995792.67,-127.1719358502,,,,,,,,,28889058075.39,27.0525833854,28617774717.46,29.9670788406,271283357.93,-62.2497352184,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,34837799052.26,12.4710803061,34837799052.26,12.4710803061,,,,,,,,,,,23872532419.55,3.0339828335,16595035951.42,7.0032518292,,,,,226458708.32,76.9895447597,,,,,,,,,,,,,743229343.86,14.0890381875,87999447.97,10.0984280679,566399652.96,10.684369336,,,5653409315.02,-10.1151540958,5708624720.42,-10.5249929433,104521582.49,-0.4511885181,,,,,,,83053757.88,-74.4097925372,2891657273.21,8.790781954,2559662891.67,20.5485874099,,,,,-3464395.3,-213.8536915506,1747230.72,172.2200491464,-11272910.27,-1246.1210741927,4173974.13,7.5168856393,,,0.0,,13931161563.08,29.0349477059,354405.49,101.1008569295,,,384378292.77,4631.961816609,,,,,0.0,,13547137675.8,25.5704206511,1956739684.24,18.9209030138,,,,,,,11590397991.56,26.7670872227,,,11590397991.56,26.7670872227,,,11367646101.29,27.9842307914,222751890.27,-14.6537540589,11370373925.58,33.825415167,,,,,0.4646,27.9889807163,0.4646,27.9889807163,683649217.81,-53.5526667403,689719887.41,-33.9372013221,-6070669.6,-101.4188988664,,,,,657642703.96,277.5495840989,,,583541031.52,278.8640637633,,,74101672.44,267.5084857989,,,,,32077183.45,-96.3123300376,47886208.47,-40.1124011425,,,,,15129922.82,,,,,,,,-30938947.84,-103.9168704417,,,,,,,,,12274047209.37,15.6298591451,12057365988.7,21.4712780083,216681220.67,-68.5441147026,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,15656758358.43,1.6839899144,15656758358.43,1.6839899144,,,,,,,,,,,11677366640.39,0.5751518248,8122615907.15,4.4498388041,,,,,103326917.7,188.7054750635,,,,,,,,,,,,,276395849.72,-23.4353782215,41272921.44,7.4676613899,280713858.44,11.2802915668,,,2853041185.94,-9.3284521097,2905595836.55,-8.4583427522,52018905.89,20.4980774841,,,,,,,-14182754.13,-124.9107467494,900469397.77,55.7410820334,887144132.62,57.1174936092,,,,,-681203.23,-618.6859535911,,,-1476893.68,,3911204.82,10.6028109322,,,0.0,,4867431469.59,9.9819498032,208209.07,19.7963401338,,,107379773.79,941315.842173555,,,,,0.0,,4760259904.87,7.55641017,681473274.91,-1.0143318716,,,,,,,4078786629.96,9.1352165094,,,4078786629.96,9.1352165094,,,3968173348.74,9.832775267,110613281.22,-11.1161774467,3979448003.79,11.4537099493,,,,,0.1622,6.2213490504,0.1622,6.2213490504,268457533.76,172.0370091374,194399683.02,172.0332757887,74057850.74,172.0468109097,,,,,95187438.2,126.9517370723,,,95187438.2,126.9517370723,,,,,,,,,99212244.82,131.817505226,9558.6,,,,,,15129922.82,,,,,,,,84072763.4,126.9622524286,,,,,,,,,4347244163.72,29.2013972457,4162573031.76,24.5143087446,184671131.96,752.7584216815,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,78143535736.1,13.4765984703,78143535736.1,13.4765984703,,,,,,,,,,,49466106518.79,16.7599953484,32958283915.47,11.6313470496,,,,,788922297.3,779.952005671,,,,,,,,,,,,,1601667584.45,9.7036913836,192385627.7,11.5032933688,1364469297.27,-11.2745532967,,,12560377796.6,31.0917169677,12742363848.41,30.0069766968,239165069.4,17.1326913303,,,,,,,-162878350.58,57.7297986121,4750167222.45,3.2614527492,4231318849.65,19.7237536904,,,,,6336590.98,112.1562696019,-42490035.23,84.1677343284,-2404276.23,65.4215925666,5195377.86,63.848066548,,,0.0,,33231355746.56,9.3567507149,80847429.6,2804.3942698205,,,888155810.78,42.1620105903,,,,,0.0,,32424047365.38,8.9295957375,4456576598.1,-4.4502686845,,,,,,,27967470767.28,11.4156852465,,,27967470767.28,11.4156852465,,,27244616815.27,14.8306217572,722853952.01,-47.4669781071,27508231223.76,28.5891370065,,,,,1.1135,14.8293286583,1.1135,14.8293286583,396121248.09,-83.2665118198,217054060.95,-85.2620300184,179067187.14,-79.9809160561,,,,,-105287201.66,43.4900083335,,,-32068696.88,77.8041909502,,,-73218504.78,-75.0164386149,,,,,322341262.61,-80.5709691265,9010438.14,-91.3384916473,,,,,-15129922.82,,,,,,,,328460747.29,-78.8776887337,,,,,,,,,28363592015.37,3.2561628876,27461670876.22,8.9806358115,901921139.15,-60.2762190732,,,,,,,,,,,标准无保留意见
600900.SH,600900,长江电力,10007169,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-31 00:00:00,CNY,57855135654.42,9.0232848574,57855135654.42,9.0232848574,,,,,,,,,,,36143939526.62,18.4162539444,24361853612.08,16.030392246,,,,,237746531.91,983.5915553041,,,,,,,,,,,,,1178490790.18,9.5251132814,123949979.22,0.73538733,807905262.85,-29.4330957699,,,9433993350.38,31.7445184577,9584148823.78,30.6775381172,172642207.07,23.9979510876,,,,,,,6411247.98,101.4589736022,3828754536.29,-8.4191941904,3279216980.62,4.9917952412,,,,,-3487490.42,-168.8372887717,1596781.99,4388.7748160251,193453.49,123.4628843635,4813104.6,56.8474870765,,,0.0,,25549477761.73,-2.8264793966,55857480.3,667.4913975564,,,158164755.5,-70.6761800978,,,,,0.0,,25447170486.53,-1.216465701,3547709976.54,-12.9706696043,,,,,,,21899460509.99,0.9932407298,,,21899460509.99,0.9932407298,,,21523845844.96,4.1337315687,375614665.03,-62.9811606444,21456411136.72,12.8403611469,,,,,0.8797,4.1434828933,0.8797,4.1434828933,838414868.56,-60.8680302493,495403162.36,-62.0337258588,343011706.2,-59.0522335086,,,,,-118188963.66,61.8282607275,,,-138352218.47,55.38096895,,,20163254.81,4378.7161295959,,,,,613592126.02,-61.9943217223,79968782.18,-3.2956619098,,,,,,,,,,,,,533623343.84,-65.1632039405,,,,,,,,,22737875378.55,-4.5694346403,22019249007.32,0.2046537471,718626371.23,-61.20438673,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-31 00:00:00,2024-08-31 00:00:00,CNY,30974895019.62,-1.5362553813,30974895019.62,-1.5362553813,,,,,,,,,,,23169571594.76,18.7588588152,15508908063.75,14.7677537646,,,,,127950330.98,1134.8946723708,,,,,,,,,,,,,651446760.94,-0.4558833141,79927978.55,0.1501115351,511725057.8,-24.12889759,,,6289613402.74,37.4058300662,6380133300.02,36.0325580868,104995309.27,14.1951865658,,,,,,,324552890.01,244.6201351965,2657998427.14,-9.8898125455,2123345405.09,1.3231549857,,,,,3042848.46,-49.4576081127,641844.98,1423.5071429941,983570.63,221.2740520438,3882156.84,42.5269335559,,,0.0,,10796425162.92,-26.4628721077,176232.71,-92.0790144876,,,8123021.86,-97.9414953037,,,,,0.0,,10788478373.77,-24.4991504482,1645412736.24,-34.4446032801,,,,,,,9143065637.53,-22.3799449325,,,9143065637.53,-22.3799449325,,,8882067760.22,-22.8538773804,260997877.31,-1.8630279411,8496423427.04,-24.6679793407,,,,,0.363,-22.8480340064,0.363,-22.8480340064,1471880450.03,-0.0253717167,1044036736.58,9.8874610862,427843713.45,-18.0623496248,,,,,174187108.57,364.9716306668,,,154023853.76,331.137308373,,,20163254.81,2141.9528092855,,,,,869849628.01,-14.3709183402,79960140.97,-1.3499170277,,,,,,,,,,,,,789889487.04,-15.4999628035,,,,,,,,,10614946087.56,-19.8963330649,9926104496.8,-20.3579754363,688841590.76,-12.595789298,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-28 00:00:00,2024-04-30 00:00:00,CNY,15397466574.25,25.1657486815,15397466574.25,25.1657486815,,,,,,,,,,,11610588130.89,27.2004909873,7776571031.75,20.3358635541,,,,,35789732.66,665.8849127452,,,,,,,,,,,,,360996819.81,58.6675933767,38404968.44,19.6021711055,252258377.91,-12.6325459969,,,3146567200.32,48.9595743411,3174069515.35,47.2247724895,43169905.26,2.5263157362,,,,,,,56934279.3,124.1979136408,578183601.92,-50.4275015484,564637401.12,-14.2780616208,,,,,131332.5,7521.4246965485,,,,,3536261.68,28.9537962107,,,0.0,,4425663918.76,7.9515750024,173802.53,2064.7844028184,,,11406.2,-99.9947519672,,,,,0.0,,4425826315.09,13.9989128628,688456508.7,-3.8496801489,,,,,,,3737369806.39,18.0351343455,,,3737369806.39,18.0351343455,,,3612922772.0,16.2834235969,124447034.39,109.7803844072,3570493979.61,16.4487869912,,,,,0.1527,16.2985529322,0.1527,16.2985529322,-372666129.5,-233.3482285929,-269874833.39,-216.2742597299,-102791296.11,-317.0130215809,,,,,41941709.47,-59.285010225,,,41941709.47,-59.285010225,,,,,,,,,-311816542.86,-341.5515716803,,,,,,,,,,,,,,,-311816542.86,-560.577082393,,,,,,,,,3364703676.89,-2.3531475562,3343047938.61,0.1182573986,21655738.28,-79.7019857331,,,,,,,,,,,
600900.SH,600900,长江电力,10007169,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-28 00:00:00,2024-04-30 00:00:00,CNY,68863128424.25,23.7515977883,68863128424.25,23.7515977883,,,,,,,,,,,42365629059.16,48.2473177716,29524219483.64,39.8385398611,,,,,89655150.76,127.453957257,,,,,,,,,,,,,1459994248.37,25.4699995896,172538067.61,14.7044719384,1537855652.43,13.0970824357,,,9581366456.35,101.6548346174,9801292339.97,104.080563492,204183022.42,74.4112804371,,,,,,,-385326649.11,-214.8573746465,4600135961.66,-15.2153398123,3534235036.26,26.1423851448,,,,,-52126114.24,-474.6983451851,-268376214.19,-764.5706767107,-6953114.41,40.732973002,3170850.88,-18.1512171338,,,0.0,,30388024085.68,-7.5682466686,2783624.47,-90.8136284583,,,624749050.11,25.6707751836,,,,,0.0,,29766058660.04,-8.1559364497,4664143516.41,-21.265665021,,,,,,,25101915143.63,-5.2237324211,,,25101915143.63,-5.2237324211,,,23725915960.71,-9.6946777591,1375999182.92,547.6955741724,21392344535.58,-11.3873795611,,,,,0.9697,-16.0650913183,0.9697,-16.0650913183,2367236548.79,663.1495013534,1472754125.71,624.087815035,894482423.08,741.9246881079,,,,,-186316080.67,-306.0515759992,,,-144480864.87,-15.816069954,,,-41835215.8,-119.4426555144,,,,,1659070206.38,546.6651201524,104028510.66,61.7460532336,,,,,,,,,,,,,1555041695.72,456.8648563104,,,,,,,,,27469151692.42,5.3867631496,25198670086.42,-3.0521545128,2270481606.0,3005.9289030625,,,,,,,,,,,标准无保留意见
